번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1546954,진미순대국,영업/정상,경기도 성남시 수정구 태평동 6424번지,211561.164320557,437674.986311053,한식
1546996,충남식당,영업/정상,경기도 성남시 수정구 태평동 3314-2번지 1층,212094.249315144,438092.798311307,한식
1547098,원치킨호프,영업/정상,경기도 성남시 수정구 태평동 6111번지 외 1필지 1층,211197.266052346,437976.717766709,통닭(치킨)
1547100,추억의포차,영업/정상,경기도 성남시 수정구 태평동 3166-3번지 1층,211779.577591217,438355.050715331,호프/통닭
1547139,골목포차,영업/정상,경기도 성남시 수정구 태평동 2705번지 1층,212165.164112485,438373.417913402,정종/대포집/소주방
1547225,짱구반점,영업/정상,경기도 성남시 수정구 태평동 4115 1층(일부),211553.775086624,438278.521847869,중국식
1547280,마포숯불갈비,영업/정상,경기도 성남시 수정구 태평동 3919-1번지 1층,211739.19713465,438213.780697909,식육(숯불구이)
1547425,신몽불닭발,영업/정상,경기도 성남시 수정구 태평동 3524-3,211901.75691539,437870.844327104,기타
1547474,우촌1호점,영업/정상,경기도 성남시 수정구 태평동 3691-7번지 1층,211694.725593732,437754.168601555,식육(숯불구이)
1565015,스마일피자,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장 (나-1) 127, 149. 150호",211621.339542445,437703.284225483,경양식
1565298,제육불지존(성남태평점),영업/정상,경기도 성남시 수정구 태평동 3312 1층 일부,212116.024749014,438100.896792958,한식
1567814,홍마라탕,영업/정상,경기도 성남시 수정구 태평동 5738 1(일부)층,211368.709760007,438040.529824405,중국식
1571563,신한국통닭 태평점,영업/정상,경기도 성남시 수정구 태평동 3640 1(일부)층,211823.241011609,437818.660274052,호프/통닭
1572784,역전우동0410 성남의료원점,영업/정상,경기도 성남시 수정구 태평동 3425-2 삼진빌딩 1층 일부,212126.512890231,437873.442882265,한식
1574000,100살공,영업/정상,경기도 성남시 수정구 태평동 3396 1층 일부,212052.301166468,437929.530110802,분식
1575493,단골집,영업/정상,경기도 성남시 수정구 태평동 3537 1층 일부,211858.23985712,437899.298995734,정종/대포집/소주방
1575673,"커피(COFFEE), 64-1",영업/정상,경기도 성남시 수정구 태평동 525 2층 일부,211776.268049731,438601.36442177,기타
1575978,전설낙곱새 성남점,영업/정상,경기도 성남시 수정구 태평동 1673 2층 1호,212309.436757894,438576.459284537,한식
1577185,술친구가생각날때,영업/정상,경기도 성남시 수정구 태평동 6940 태화빌딩 101호,211077.89524543,437591.813307031,호프/통닭
1578557,탄천한우,영업/정상,경기도 성남시 수정구 태평동 7065-3 2층,210545.633088945,437975.07498333,식육(숯불구이)
1578831,피엠푸드,영업/정상,경기도 성남시 수정구 태평동 3808 1층,211767.104977632,438317.296306266,한식
1578939,키티수산,영업/정상,경기도 성남시 수정구 태평동 3311 대광빌딩 지1층,212126.652561907,438104.627821684,횟집
1582099,통통이네,영업/정상,경기도 성남시 수정구 태평동 3655 1층(일부),211757.074037227,437755.636382777,한식
1583554,짝꿍호프,영업/정상,경기도 성남시 수정구 태평동 3655 1층 일부,211757.074037227,437755.636382777,호프/통닭
1583555,밥이보약 태평점,영업/정상,경기도 성남시 수정구 태평동 3456 103호,212009.746399469,437910.449880383,분식
1586301,그집,영업/정상,경기도 성남시 수정구 태평동 3475 태광빌딩 102호,211933.203385395,437948.671710884,정종/대포집/소주방
1586302,해남순대국,영업/정상,경기도 성남시 수정구 태평동 3655 1층 일부,211757.074037227,437755.636382777,한식
1586702,기영이숯불두마리치킨 성남태평점,영업/정상,경기도 성남시 수정구 태평동 3316 강남타운 102호,212053.192554935,438077.713844411,호프/통닭
1586791,복락,영업/정상,경기도 성남시 수정구 태평동 3481 1층 일부,211953.435474537,437896.776153914,식육(숯불구이)
1586793,미친피자 성남점,영업/정상,경기도 성남시 수정구 태평동 3307-154 102호,212181.690490764,438151.351302503,경양식
1592171,시몬스키친(simon's kitchen),영업/정상,경기도 성남시 수정구 태평동 3200 1층 일부호,211897.265171074,438047.859024522,경양식
1593493,심봉사도너츠,영업/정상,경기도 성남시 수정구 태평동 7314-7 1(일부)층,212315.517475665,438158.061075684,기타
1594215,명품육수&컨설팅,영업/정상,경기도 성남시 수정구 태평동 3129-3 2층 일부,211847.082168592,438254.841487953,한식
1596736,피자나라치킨공 태평점,영업/정상,경기도 성남시 수정구 태평동 2454 1층,212276.497706631,438548.597750369,호프/통닭
1597642,커런앤즈브,영업/정상,경기도 성남시 수정구 태평동 7331-1 1층 일부,212474.597686509,438132.237550718,기타
