번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1439767,신육등,영업/정상,강원도 춘천시 석사동 741-4,266086.031768242,485093.129601465,한식
1439768,훈이네식당,영업/정상,강원도 춘천시 퇴계동 1159-2번지,263622.351216445,485167.303398065,한식
1439769,신마포갈매기강릉교동점,영업/정상,강원도 강릉시 교동 1832-8,365375.836315386,475490.566199071,식육(숯불구이)
1439770,박종주반죽소,영업/정상,강원도 강릉시 초당동 320,368506.928975596,478363.538724496,까페
1439771,만억정흑염소,영업/정상,강원도 강릉시 교동 1825-3 2층,365459.966977394,475591.450761628,한식
1439772,행복마을,영업/정상,강원도 강릉시 옥천동 123-25,367605.909626062,474507.589346569,식육(숯불구이)
1439773,춘천명동닭갈비,영업/정상,강원도 춘천시 남산면 강촌리 250-1,255962.15848281,478893.334880848,한식
1439774,우동식당,영업/정상,강원도 강릉시 포남동 901-10,367822.209816592,474825.053126217,한식
1439775,먹보네식당,영업/정상,강원도 강릉시 주문진읍 주문리 308-12 외 1필지(308-23),361016.709784194,489675.910753737,분식
1439776,포차끝판왕강릉점,영업/정상,강원도 강릉시 교동 1829-4,365484.916465095,475530.205947307,정종/대포집/소주방
1439777,경기해변횟집,영업/정상,강원도 강릉시 강문동 294-1번지,368154.763732462,479514.67683502,횟집
1439778,교촌치킨포남점,영업/정상,강원도 강릉시 포남동 1157-8,368136.50322827,475611.2406956,통닭(치킨)
1439779,동부집,영업/정상,강원도 강릉시 교동 1832-9,365378.346589059,475503.907522483,한식
1439780,함지박,영업/정상,강원도 춘천시 후평동 732-5,266073.514268458,487280.527897564,한식
1439781,천상,영업/정상,강원도 춘천시 퇴계동 631-1번지,263518.863077002,484851.527780918,라이브카페
1439782,야차,영업/정상,강원도 춘천시 퇴계동 1152-5,263829.624446173,485063.928476693,호프/통닭
1439783,현대뚝배기,영업/정상,강원도 춘천시 후평동 714-7번지,265479.236722148,487332.367884827,한식
1439784,안목바다식당,영업/정상,강원도 강릉시 병산동 528,370573.427311375,475160.480498602,한식
1439785,이미정의걸작,영업/정상,강원도 강릉시 입암동 100-13,368957.729921205,474737.556908775,정종/대포집/소주방
1439786,남가네설악추어탕· 한모둠순대국,영업/정상,강원도 춘천시 동면 만천리 871-38번지,266916.490208357,486855.968517855,한식
1439787,고산가,영업/정상,강원도 춘천시 동내면 고은리 351,268210.248909638,482591.648476645,한식
1439788,경포대울진대게횟집,영업/정상,강원도 강릉시 강문동 3-5,,,횟집
1439789,주원,영업/정상,강원도 춘천시 효자동 618-20,265196.238764222,486010.432705632,정종/대포집/소주방
1439790,오필승닭발애막골점,영업/정상,강원도 춘천시 석사동 749-12,266003.363385957,485025.214795187,통닭(치킨)
1439791,킹콩부대찌개강릉옥천점,영업/정상,강원도 강릉시 옥천동 138,367524.391101498,474584.153168798,한식
1439792,만석보리밥,영업/정상,강원도 원주시 중앙동 56-44번지 자유시장 지층 31부럭7호,284033.921552232,428036.658847502,한식
1439793,진우페리카나,영업/정상,강원도 원주시 태장동 1034-1번지 1층,284048.721525292,431063.315020362,호프/통닭
1439794,서원구정(속초방향)휴게소,영업/정상,강원도 강릉시 구정면 제비리 608-1,363392.689341927,470558.629321542,한식
1439795,구정(동해방향)휴게소 한식양식우동라면,영업/정상,강원도 강릉시 구정면 제비리 888,363164.447362892,470473.240784369,한식
1439796,병천황토방순대초당점,영업/정상,강원도 강릉시 초당동 96-2,368758.761242908,477638.898184332,한식
1439797,주인장마음대로,영업/정상,강원도 강릉시 옥천동 278,367259.49125446,474702.225980819,정종/대포집/소주방
1439798,김밥천국임당점,영업/정상,강원도 강릉시 임당동 121-2번지,367060.141389766,474152.275536871,분식
1439799,교촌치킨(개운점),영업/정상,강원도 원주시 개운동 395-23번지,284932.87,427006.896666666,통닭(치킨)
1439800,안목항물회,영업/정상,강원도 강릉시 견소동 184-1,371321.414815637,476290.242614213,한식
1439801,알찬대게,영업/정상,강원도 강릉시 주문진읍 교항리 1254번지,360707.906372501,488462.844818597,한식
1439802,버거웍스,영업/정상,강원도 강릉시 견소동 287-19,371430.714526726,476291.631760489,한식
1439803,"처갓집양념치킨입암점,피자앤치킨",영업/정상,강원도 강릉시 입암동 107-1,368872.5496535,474808.296157337,통닭(치킨)
1439804,106,영업/정상,강원도 강릉시 성남동 51-106번지,367392.14902467,474010.952599711,호프/통닭
1439805,육반장,영업/정상,강원도 강릉시 임당동 20-6,366909.199384992,474341.441266699,한식
1439806,착한한우해장국,영업/정상,강원도 강릉시 내곡동 267-19,365698.645550023,471934.503305381,한식
1439807,미래포차,영업/정상,강원도 강릉시 송정동 17-7,370394.385044633,476647.627789504,통닭(치킨)
1439808,신아서원,영업/정상,강원도 강릉시 내곡동 461-5,365987.295369488,473063.655198119,중국식
1439809,벤허,영업/정상,강원도 강릉시 사천면 산대월리 158-3,365863.90889222,481697.533040211,까페
1439810,웰컴투동막골,영업/정상,강원도 강릉시 옥천동 223번지 61-2호,367443.601105971,474756.310270998,정종/대포집/소주방
1439811,송박사부대찌개막국수,영업/정상,강원도 원주시 단구동 1630-1번지,284730.066683611,425014.492752015,한식
1439812,한국피자헛원주태장점,영업/정상,강원도 원주시 태장동 1385-13번지 2층,283899.284029283,431625.626543975,패스트푸드
1439813,문막(하)휴게소풍경마루,영업/정상,강원도 원주시 문막읍 동화리 114 문막(하)휴게소가동,275994.383805003,426302.575595956,한식
1439814,국민낙곱새강릉점,영업/정상,강원도 강릉시 용강동 33-7,366535.401884255,474100.995310899,한식
1439815,햇고을,영업/정상,강원도 춘천시 남산면 서천리 632-2,246950.418211434,481554.287727504,한식
1439816,정우분식,영업/정상,강원도 강릉시 주문진읍 교항리 72-6,360619.97982746,488023.998860383,분식
1439817,진고개참나무숯불갈비별관,영업/정상,강원도 강릉시 포남동 1077-13,368115.53755429,476176.68327557,식육(숯불구이)
1439818,요선수다방,영업/정상,강원도 춘천시 요선동 14-4,263932.826594751,486809.270591983,한식
1439819,마인드치킨,영업/정상,강원도 춘천시 남산면 창촌리 74-1,256867.283010722,476646.531223572,통닭(치킨)
1439820,토대력(춘천점),영업/정상,강원도 춘천시 효자동 148-12,264530.700709686,485806.835859767,정종/대포집/소주방
1439821,대구참숯막창,영업/정상,강원도 춘천시 소양로1가 101-13,263739.485879292,488058.221283149,식육(숯불구이)
1439822,뱃터매운탕,영업/정상,강원도 춘천시 신동 1079-3,262850.030761322,492917.660751005,한식
1439823,대왕감자탕,영업/정상,강원도 춘천시 후평동 725-19,265823.589972358,487140.801206173,한식
1439824,인투더씨,영업/정상,강원도 강릉시 연곡면 영진리 217,362376.530910396,486189.161500112,정종/대포집/소주방
1439825,이즈하라,영업/정상,강원도 강릉시 금학동 81-1 2층,366877.977078045,473924.207755756,일식
1439826,귀래옛날짜장,영업/정상,강원도 원주시 귀래면 운남리 948-8번지,278475.93416695,407836.653603241,중국식
1439827,큰곰,영업/정상,강원도 원주시 판부면 금대리 693-1번지,289988.957851565,419756.547834898,한식
1439828,일호집,영업/정상,강원도 원주시 중앙동 62-66번지 중앙시장 라동 25호,284090.045782792,427941.609097672,한식
1439829,영미네밥집,영업/정상,강원도 원주시 우산동 200-3,282873.998819313,430149.177758292,한식
1439830,장터추어탕,영업/정상,강원도 원주시 문막읍 문막리 238-11번지 지상1층,272189.99467318,422964.755652703,한식
1439831,춘천왕갈비,영업/정상,강원도 춘천시 퇴계동 188-1번지 1층,264702.34644249,483746.820208309,식육(숯불구이)
1439832,바우하우스,영업/정상,강원도 춘천시 요선동 1-10,264020.175048131,487172.609544126,경양식
1439833,비앤비,영업/정상,강원도 춘천시 퇴계동 1161-4,263635.900989965,485110.34614109,라이브카페
1439834,양반청국장막국수,영업/정상,강원도 춘천시 신북읍 천전리 261-1,268830.085650024,492823.40327599,한식
1439835,봄담은산채,영업/정상,강원도 춘천시 삼천동 48-11,262049.31620812,485000.19835166,한식
1439836,도토리네집,영업/정상,강원도 춘천시 석사동 923-3 (1층),266072.448293696,483185.30385985,한식
