번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1378133,주식회사해마,영업/정상,제주특별자치도 제주시 연동 261-3,152486.759480135,-626.777428344182,한식
1378546,섭지코지로,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 399-46,193480.95681601,-4042.75949029008,경양식
1378547,엠에이오(M.A.O),영업/정상,제주특별자치도 서귀포시 성산읍 온평리 741,191077.278754981,-10106.0696748815,경양식
1378548,게리가(Gary ga),영업/정상,제주특별자치도 서귀포시 남원읍 신례리 71-3,166464.544570167,-25778.4333021038,"외국음식전문점(인도,태국등)"
1378898,탐나는한끼,영업/정상,제주특별자치도 서귀포시 대정읍 하모리 873-1,130238.942648611,-30002.9418398558,한식
1379135,친봉,영업/정상,제주특별자치도 서귀포시 상효동 1314-2,162322.347902971,-22710.8437215726,한식
1379165,삼대국수회관협재점,영업/정상,제주특별자치도 제주시 한림읍 협재리 2765-18,128764.897314328,-12259.9850214625,한식
1379166,에이치라운지,영업/정상,제주특별자치도 제주시 한림읍 협재리 1193 한림리조트,130112.628826454,-11602.0128059721,호프/통닭
1379167,슬로우캘리제주점,영업/정상,제주특별자치도 제주시 아라이동 3010-1,157570.731161339,-565.260839281685,경양식
1379168,월정치맥축제,영업/정상,제주특별자치도 제주시 구좌읍 월정리 536-4,180994.449768227,6566.75008667923,한식
1379169,오선,영업/정상,제주특별자치도 제주시 조천읍 선흘리 2637-2,172400.25165597,2013.25239232549,한식
1379170,커피다,영업/정상,제주특별자치도 제주시 삼도일동 518-12,155106.327772957,523.49445523744,기타
1379171,제주브런치카페공존,영업/정상,제주특별자치도 제주시 이도이동 429-8,157466.539166843,302.265690592888,경양식
1379194,오늘머회,영업/정상,제주특별자치도 서귀포시 동홍동 107-6,160139.138641437,-26456.0661720653,한식
1379195,사계월,영업/정상,제주특별자치도 서귀포시 안덕면 사계리 2252-3,134493.324115833,-29232.2802059633,한식
1379196,냉면쟁이고기꾼,영업/정상,제주특별자치도 서귀포시 표선면 표선리 698-3,184309.026438928,-18868.4377764109,한식
1379314,솜빡,영업/정상,제주특별자치도 서귀포시 성산읍 신천리 894-1,185899.003812308,-16779.6482028297,한식
1379315,돗돗,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 181-1,193735.071650129,-3621.99824930499,한식
1379316,강철카페,영업/정상,제주특별자치도 서귀포시 대정읍 보성리 2372,133259.267323071,-22461.6484770049,기타
1379341,초밥잇수다,영업/정상,제주특별자치도 제주시 이도이동 1948-10,157606.197755073,-191.567979065421,일식
1379342,문어양식장,영업/정상,제주특별자치도 제주시 한림읍 협재리 1860,129613.01573858,-10896.0929303317,한식
1379343,수수로쿠치나,영업/정상,제주특별자치도 제주시 조천읍 선흘리 475-97,173326.460042386,-4120.69170840754,한식
1379344,면조아,영업/정상,제주특별자치도 제주시 아라일동 6034-8,156704.099594115,-1084.17569876523,한식
1379345,화씨벽지점 아마스빌리조트,영업/정상,제주특별자치도 제주시 애월읍 고내리 13-3,140161.73610009,-2476.86765760693,한식
1379634,무뚱모슬포좁짝뼈국수,영업/정상,제주특별자치도 서귀포시 대정읍 하모리 1050-4,130133.809775788,-30363.9347851548,한식
