번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1721583,이디아,영업/정상,경기도 성남시 수정구 복정동 686-1번지 1층,211155.537627516,439655.795196186,분식
1721615,처갓집양념치킨 복정점,영업/정상,경기도 성남시 수정구 복정동 678-2 1층,211168.234269636,439900.644517429,호프/통닭
1721770,스파게티 올리브,영업/정상,경기도 성남시 수정구 복정동 686-1 1층,211155.537627516,439655.795196186,경양식
1721772,아랫달밤,영업/정상,경기도 성남시 수정구 복정동 690-8 지층,211198.006863593,439423.579044345,한식
1722024,소미랑,영업/정상,경기도 성남시 수정구 복정동 694-4번지 1층,211182.695117161,439281.224719974,한식
1743651,묵호바다회초밥,영업/정상,경기도 성남시 수정구 복정동 677-1 1층,211129.661178072,439853.202879182,횟집
1763748,1988,영업/정상,"경기도 성남시 수정구 복정동 714-4번지 엔에스비 빌딩,1층(일부) 101호",211194.569839368,439030.954741419,기타
1764174,참새방앗간,영업/정상,경기도 성남시 수정구 복정동 664-15 1층,211184.602641438,439999.88163395,한식
1789008,쁘이치킨,영업/정상,경기도 성남시 수정구 복정동 660-8번지 1층,211178.245318489,440043.711951712,호프/통닭
1789491,은하,영업/정상,경기도 성남시 수정구 복정동 660번지 외1필지,211185.622663989,440150.300117382,호프/통닭
1789553,비아246(Via246),영업/정상,경기도 성남시 수정구 복정동 664-1번지 102호,211189.37759781,440017.586351983,경양식
1812501,투다리 복정점,영업/정상,"경기도 성남시 수정구 복정동 686-9 101, 102호",211163.687343708,439558.103265678,정종/대포집/소주방
1813928,차오박스,영업/정상,경기도 성남시 수정구 복정동 677-5 2층,211125.890166097,439798.349235842,한식
1826438,대구막창,영업/정상,"경기도 성남시 수정구 복정동 647-7번지 트윈빌Ⅱ,1층",211188.46199334,440206.657899208,식육(숯불구이)
1894197,행복로드마라탕 동서울대점,영업/정상,경기도 성남시 수정구 복정동 677-5 1층(일부),211125.890166097,439798.349235842,한식
1895244,이가방,영업/정상,경기도 성남시 수정구 복정동 692-14번지 1층 일부호(101호),211227.460742758,439381.589582871,호프/통닭
1896852,겐코쇼쿠도 복정점,영업/정상,"경기도 성남시 수정구 복정동 709-13 지산빌딩,1층(일부)",211223.346925022,439158.067605313,일식
1949409,식회사 마포립,영업/정상,경기도 성남시 수정구 복정동 633-6번지 1층,211222.175922263,440656.540731734,식육(숯불구이)
1953242,복정각,영업/정상,경기도 성남시 수정구 복정동 686-9 1층103호,211163.687343708,439558.103265678,중국식
2009805,윤가네갈비이야기,영업/정상,"경기도 성남시 수정구 복정동 686-8번지 1층,지상",211160.512196637,439575.892057002,한식
2010060,리또 기로스,영업/정상,"경기도 성남시 수정구 복정동 678-7번지 수전빌딩, 1층 일부 105호",211163.788990878,439834.028282377,기타
2044706,이가네명동찌개마을&불판삼겹살,영업/정상,경기도 성남시 수정구 복정동 689 1층,211136.661438867,439514.40812388,통닭(치킨)
